Ime,Regija,Sektor,Sistem,Prebivalstvo
Drahgor III,Outer Rim Territories,Unknown,Unknown,Gozzo
Durkteel,Mid Rim Territories,Unknown,Durkteel system,Saurins
Duro,Core Worlds,Unknown,Unknown,Duros
Dwartii,Inner Rim Territories,Unknown,Unknown,Unknown
Dybbron III,Unknown,Unknown,Unknown,Unknown
Dybrin,Deep Core,Unknown,Unknown,Unknown
Eadu,Outer Rim Territories,Bheriz sector,Eadu system,Humans
Edis VII,Unknown,Unknown,Unknown,Unknown
Egips,Unknown,Unknown,Unknown,Unknown
Eiram,Outer Rim Territories,Unknown,Eiram system,Humans
Elkeenar,Outer Rim Territories,Unknown,Penagosis system,Unknown
Elom,Outer Rim Territories,Unknown,Unknown,"Elom,Elomin"
Elphrona,Outer Rim Territories,Unknown,Elphrona system,Unknown
Empress Teta,Deep Core,Koros sector,Empress Teta system,Various
Endor,Outer Rim Territories,Moddell sector,Endor system,Unknown
Ephemera,Inner Rim Territories,Unknown,Unknown,Unknown
Epiphany,Outer Rim Territories,Corporate Sector,Salient system,Unknown
Eriadu,Outer Rim Territories,Seswenna sector,Eriadu system,"Humans,Rodians"
Er'Kit,Outer Rim Territories,Unknown,Unknown,Er'Kit
E'ronoh,Outer Rim Territories,Unknown,Eiram system,Pantorans
Eroudac,Mid Rim Territories,Unknown,Unknown,Unknown
Ertegas,Outer Rim Territories,Anoat sector,Unknown,Unknown
Escalan,Outer Rim Territories,Unknown,Unknown,Unidentified species
Escarte,Unknown,Unknown,Unknown,Unknown
Eshan,Unknown,Unknown,Unknown,Humans
Espinar,Core Worlds,Unknown,Unknown,Unknown
Espirion,Inner Rim Territories,Unknown,Unknown,"Alder-Espirions,Espirions"
Esseles,Unknown,Unknown,Unknown,Unknown
Etai,Mid Rim Territories,Unknown,Unknown,Unknown
Etti IV,Unknown,Unknown,Unknown,Unknown
Eufornis Major,Core Worlds,Unknown,Unknown,Various
Eufornis Minor,Outer Rim Territories,Unknown,Unknown,Humans
Everon,Unknown,Unknown,Unknown,Evereni
Exegol,Unknown Regions,Unknown,Exegol system,Unknown
Ezaraa,Unknown,Unknown,Unknown,Ezaraa
Falleen,Mid Rim Territories,Unknown,Unknown,Falleen
Farana,Wild Space,Unknown,Unknown,Unknown
Farhava Beta,Unknown,Unknown,Unknown,Unknown
Fedalle,Core Worlds,Unknown,Unknown,Unknown
Federian,Unknown,Unknown,Unknown,Unknown
Fedovoi End,Unknown,Unknown,Unknown,Unknown
Feenix,Unknown,Unknown,Unknown,Unknown
Felucia,Outer Rim Territories,Thanium sector,Felucia system,"Felucians,Jungle Felucians"
Fermic,Outer Rim Territories,Unknown,Unknown,Unknown
Ferrix,Unknown,Free Trade sector,Morlani system,Various
Fest,Outer Rim Territories,Atrivis sector,Unknown,Humans
Fillithar,Unknown,Unknown,Unknown,Fillithar
Florrum,Outer Rim Territories,Sertar sector,Unknown,Various
Fondor,Colonies,Unknown,Unknown,Unknown
Foran Tutha,Outer Rim Territories,Tion Cluster,Unknown,Unknown
Forrn,Unknown,Unknown,Unknown,Unknown
Freerock,Outer Rim Territories,Unknown,Unknown,Unknown
Fresia,Unknown,Unknown,Unknown,Unknown
Frong,Outer Rim Territories,Unknown,Unknown,Frong
Gaaten,Unknown,Unknown,Unknown,Unknown
Gabdor,Unknown,Unknown,Unknown,Gabdorin
Gabredor III,Unknown,Unknown,Unknown,Unknown
Galaan,Outer Rim Territories,Corva sector,Galaan system,Unknown
Galagolos V,Colonies,Unknown,Unknown,Cloddogran
Galator III,Unknown,Unknown,Unknown,Unknown
Galdi,Unknown,Unknown,Unknown,Unknown
Galidraan,Outer Rim Territories,Unknown,Galidraan system,Unknown
Galidraan III,Outer Rim Territories,Unknown,Galidraan system,Unknown
Galidraan IV,Outer Rim Territories,Unknown,Galidraan system,Unknown
Galmerah,Unknown,Unknown,Unknown,Unknown
Galpos II,Unknown,Unknown,Unknown,Unknown
Galzez,Unknown,Unknown,Unknown,Dugs
Gamerong,Unknown,Unknown,Unknown,Unknown
Gamorr,Outer Rim Territories,Galov sector,Unknown,Gamorreans
Gan Moradir,Mid Rim Territories,Unknown,Unknown,Xan
Gand,Outer Rim Territories,Shadola sector,Unknown,Gand
Gannaria,Outer Rim Territories,Trilon sector,Unknown,Unknown
Gansevor,Republic frontier,Tammuz sector,Unknown,Unknown
Ganthel,Core Worlds,Unknown,Unknown,Humans
Garel,Outer Rim Territories,Lothal sector,Garel system,"Bith,Humans"
Gargon,Unknown,Unknown,Unknown,Unknown
Gatalenta,Core Worlds,Unknown,Unknown,Humans
Gazian,Mid Rim Territories,Unknown,Gazian system,Unknown
Gentes,Outer Rim Territories,Anoat sector,Unknown,Ugnaughts
Geonosis,Outer Rim Territories,Arkanis sector,Geonosis system,Geonosians
Geptish,Unknown,Unknown,Unknown,Unknown
Gerrenthum,Outer Rim Territories,Anoat sector,Gerrenthum system,Unknown
Gesaral Beta,Unknown,Unknown,Unknown,Unknown
GH-531,Unknown Regions,Unknown,Unknown,Unknown
Ghorman,Colonies,Unknown,Unknown,Unknown
Giermos,Unknown,Unknown,Unknown,Unknown
Gigor,Outer Rim Territories,Tynquay sector,Unknown,Gigorans
Giju,Colonies,Unknown,Unknown,Unknown
Gilvaanen,Inner Rim Territories,Unknown,Unknown,Ithorians
Glee Anselm,Mid Rim Territories,Unknown,Jalor system,"Anselmi,Nautolans"
Gloam,Outer Rim Territories,Dalnan sector,Unknown,Unknown
Gonda,Outer Rim Territories,Unknown,Unknown,Unknown
Gorse,Inner Rim Territories,Unknown,Gorse system,Various
Gossam,Unknown,Unknown,Unknown,Unknown
Graf-World,Wild Space,Unknown,Unknown,Unknown
Grange,Mid Rim Territories,Rocantor sector,Unknown,Humans
Gravlex Med,Outer Rim Territories,Unknown,Unknown,Anx
Grizmallt,Core Worlds,Unknown,Unknown,Humans
Guagenia,Inner Rim Territories,Guagenian sector,Unknown,Unknown
Guat'a,Outer Rim Territories,Unknown,Unknown,Unknown
GUHL-JO387O,Outer Rim Territories,Unknown,Unknown,Unknown
Guiteica,Unknown,Unknown,Unknown,Unknown
Gulhadar,Unknown,Unknown,Unknown,Unknown
Gutretee,Outer Rim Territories,Anoat sector,Unknown,Unknown
Gwongdeen,Colonies,Unknown,Unknown,Unknown
Gyndine,Expansion Region,Circarpous sector,Unknown,Unknown
Hadros,Outer Rim Territories,Unknown,Unknown,Unknown
Haidoral Prime,Mid Rim Territories,Kontahr sector,Unknown,Unknown
Haileap,Outer Rim Territories,Dalnan sector,Haileap system,Unknown
Halcyon,Colonies,Unknown,Unknown,Unknown
Haneli,Expansion Region,Unknown,Unknown,Unknown
Harkrova I,Unknown,Unknown,Harkrova system,Unknown
Harloff Minor,Core Worlds,Unknown,Unknown,Unknown
Haruun Kal,Mid Rim Territories,Unknown,Unknown,"Humans,Korun"
Hays Major,Outer Rim Territories,Unknown,Otomok system,Unknown
Hays Minor,Outer Rim Territories,Unknown,Otomok system,Unknown
Hebekrr Major,Outer Rim Territories,Unknown,Hebekrr system,None
Hebekrr Minor,Outer Rim Territories,Unknown,Hebekrr system,Unknown
Hetzal Prime,Outer Rim Territories,Unknown,Hetzal system,Unknown
Hevurion,Inner Rim Territories,Unknown,Unknown,Humans
Hinari,Outer Rim Territories,Unknown,Unknown,Unknown
Hindle,Core Worlds,Unknown,Unknown,Unknown
Hirara,Outer Rim Territories,Unknown,Five Points system,Unknown
Hisseen,Mid Rim Territories,Unknown,Unknown,Hisseenians
Hissrich,Outer Rim Territories,Unknown,Unknown,Unidentified species
Hofsgut,Unknown,Unknown,Unknown,Unknown
Horuz,Outer Rim Territories,Unknown,Unknown,Unknown
Hosnian,Core Worlds,Unknown,Hosnian system,Unknown
Hosnian Prime,Core Worlds,Unknown,Hosnian system,Humans
Hosra,Outer Rim Territories,Anoat sector,Burnin Konn system,Unknown
Hoth,Outer Rim Territories,Anoat sector,Hoth system,Various
Hovun IV,Expansion Region,Unknown,Unidentified system,Various
Hoxim,Unknown Regions,Unknown,Unknown,Unknown
Hudalla,Unknown,Unknown,Hudalla system,Unknown
Huk,Wild Space,Huk sector,Unknown,Yam'rii
Humbarine,Core Worlds,Unknown,Unknown,Unknown
Hynestia Prime,Colonies,Unknown,Unknown,Humans(Hynestians)
Hyperkarn,Outer Rim Territories,Unknown,Unknown,Unknown
Hypori,Outer Rim Territories,Unknown,Unknown,Unknown
Iakar,Outer Rim Territories,Unknown,Iakar system,Iakaru
Ibaar,Outer Rim Territories,Unknown,Unknown,Various
Iego,Outer Rim Territories,Ash Worlds,Unknown,Various
Ikkrukk,Mid Rim Territories,Unknown,Unknown,Ikkrukkians
Iktotchon,Expansion Region,Narvath sector,Iktotch system,Unknown
Iloh,Inner Rim Territories,Unknown,Unknown,Humans
Ilum,Unknown Regions,7G sector,Ilum system,Unknown
Imroosia,Inner Rim Territories,Unknown,Unknown,Imroosian
Imvur,Unknown,Unknown,Hasmir system,Unknown
Indoumodo,Wild Space,Unknown,Unknown,Unknown
Insk,Unknown,Unknown,Unknown,Unknown
Inusagi,Mid Rim Territories,Unknown,Unknown,"Humans,Rayeth"
Ione,Outer Rim Territories,Anoat sector,Ione system,Unknown
Ipsidon,Unknown,Unknown,Unknown,Humans
Irff,Unknown,Unknown,Unknown,Unknown
Iridonia,Mid Rim Territories,Unknown,Unknown,Zabraks
Irudiru,Wild Space,Unknown,Irudiru system,Unknown
Isde Naha,Outer Rim Territories,Unknown,Unknown,Unknown
Iskalon,Mid Rim Territories,Unknown,Unknown,Unknown
Isobe,Expansion Region,Unknown,Thustra system,Sephi
Ison,Outer Rim Territories,Anoat sector,Ison system,Unknown
Itapi Prime,Unknown,Unknown,Unknown,Unknown
Ithor,Mid Rim Territories,Unknown,Ottega system,Ithorians
Itzeho,Outer Rim Territories,Albarrio sector,Mygeeto system,Unknown
Ivarujar,Expansion Region,Unknown,Unknown,Unknown
Ivera X,Unknown,Unknown,Unknown,Unknown
I'vorcia Prime,Outer Rim Territories,Unknown,Unknown,Unknown
Ixilix,Unknown,Unknown,Unknown,Unknown
Jabiim,Outer Rim Territories,Unknown,Unknown,Unknown
Jaelen,Unknown,Unknown,Unknown,Unknown
Jafan,Mid Rim Territories,Chommell sector,Unknown,Jafani
Jaguada,Unknown,Unknown,Unknown,Unknown
Jakku,Inner Rim Territories,Jakku's sector,Jakku system,"Teedo,Uthuthma"
Jalindi,Outer Rim Territories,Unknown,Jalindi system,Unknown
Jamiron,Unknown Regions,Unknown,Jamiron system,Unknown
Janx II,Unknown,Unknown,Unknown,Unknown
Japeal,Galactic Frontier,Unknown,Unknown,Various
Jarbanov,Expansion Region,Unknown,Junker systems,Unknown
Jaresh,Outer Rim Territories,Corva sector,Unknown,Kyuzo
Jaymir,Unknown,Unknown,Unknown,Humans
Jekara,Mid Rim Territories,Unknown,Jekara system,Unknown
Jelucan,Outer Rim Territories,Unknown,Unknown,Unknown
Jeosyn,Outer Rim Territories,Unknown,Unknown,Unidentified species
Jereth VI,Unknown,Unknown,Unknown,Unknown
Jestefad,Outer Rim Territories,Atravis sector,Mustafar system,Unknown
Jeyell,Mid Rim Territories,Unknown,Unknown,Unknown
Jhas,Outer Rim Territories,Anoat sector,Hoth system,Unknown
Jiruus,Unknown,Unknown,Jiruus system,Jiruusi
Jondora,Unknown,Unknown,Unknown,Unknown
Judakann,Outer Rim Territories,Torch Nebula,Unknown,Unknown
K43,Wild Space,Unknown,Unknown,Unknown
Kalarba,Mid Rim Territories,Unknown,Unknown,Unknown
Kadavo,Wild Space,Unknown,Kadavo system,Zygerrians
Kaddak,Outer Rim Territories,Unknown,Kaddak system,Unknown
Kalee,Wild Space,Unknown,Unknown,Kaleesh
Kalevala,Outer Rim Territories,Mandalore sector,Mandalore system,Humans
Kalist VI,Deep Core,Unknown,Unknown,Unknown
Kaller,Outer Rim Territories,Unknown,Kaller system,Kallerans
Kal'Shebbol,Outer Rim Territories,Unknown,Unknown,Unknown
Kamil,Wild Space,Unidentified sector,Unknown,Unknown
Kamino,Extragalactic,Unknown,Kamino system,Kaminoans
Kanzi,Unknown,Unknown,Unknown,Unknown
Kardoa,Outer Rim Territories,Unknown,Unknown,Unknown
Karfeddion,Mid Rim Territories,Senex sector,Unknown,Unknown
Karkaris,Outer Rim Territories,Nilgaard sector,Unknown,Karkarodons
Karlinus,Mid Rim Territories,Chommell sector,Unknown,"Humans,Rodians"
Karolia,Outer Rim Territories,Unknown,Belderone system,Unknown
Kashyyyk,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Wookiees
Keitum,Mid Rim Territories,Unknown,Unknown,Unknown
Kellux,Unknown,Unknown,Kellux system,Unknown
Kenari,Mid Rim Territories,Unknown,Kenari system,Unknown
Kerev Doi,Expansion Region,Unknown,Unknown,"Bodach'i,Humans"
Kergans,Unknown,Unknown,Unknown,Zeltrons
Kerkoidia,Expansion Region,Unknown,Kerkoidia system,Kerkoidens
Kesh,Wild Space,Unknown,Unknown,Keshiri
Kessel,Outer Rim Territories,Kessel sector,Kessel system,Various
Kethmandi,Unknown,Unknown,Unknown,Unknown
Ketzali,Mid Rim Territories,Unknown,Unknown,Unknown
Khomm,Deep Core,Unknown,Khomm system,Unknown
Kidron,Unknown,Unknown,Unknown,Unknown
Kiffex,Inner Rim Territories,Unknown,Unknown,Kiffar
Kiffu,Inner Rim Territories,Unknown,Unknown,Kiffar
Kijimi,Mid Rim Territories,Bryx sector,Unknown,Unknown
Kinoss,Unknown Regions,Kinoss system,Unknown,Unknown
Kinrah,Unknown,Kinrah system,Unknown,Unknown
Kintan,Outer Rim Territories,Unknown,Unknown,Nikto
Kintoni,Outer Rim Territories,Unknown,Unknown,Unknown
Kinyen,Expansion Region,Unknown,Unknown,Gran
Kirdo III,Outer Rim Territories,Unknown,Unknown,Kitonak
Kirima,Mid Rim Territories,Unknown,Unknown,Unknown
Kiros,Expansion Region,Unknown,Kiros system,Togruta
Kirtarkin,Outer Rim Territories,Anoat sector,Unknown,Unknown
Kizan,Unknown,Unknown,Unknown,Unknown
Klatooine,Outer Rim Territories,Unknown,Unknown,Klatooinians
Klonoid,Unknown,Unknown,Unknown,Unknown
Klytus V,Wild Space,Unknown,Unknown,Unknown
Koboh,Outer Rim Territories,Unknown,Koboh system,Unknown
Kol Iben,Outer Rim Territories,Arkanis sector,Kol Iben system,Unknown
Konkiv,Unknown,Unknown,Unknown,Humans
Kooriva,Inner Rim Territories,Unknown,Unknown,Koorivar
Koorivar homeworld,Unknown,Unknown,Unknown,Koorivar
Korrilan IV,Unknown,Unknown,Unknown,Unknown
Kortatka,Unknown,Unknown,Unknown,Unknown
Koru Neimoidia,Colonies,Unknown,Unknown,Unknown
Koshaga,Unknown,Unknown,Unknown,Unknown
Kotab,Unknown,Unknown,Unknown,Kotabi
Kowak,Outer Rim Territories,Sevetta sector,Kowak system,Mole-flea
Kreeling,Mid Rim Territories,Chommell sector,Unknown,Humans
Kril'Dor,Mid Rim Territories,Unknown,Unknown,Unknown
Krownest,Outer Rim Territories,Mandalore sector,New Kleyman system,Humans
Krystar,Unknown,Unknown,Unknown,Ovissians
Ktath'atn,Outer Rim Territories,Unknown,Unknown,Humans
Kuat,Core Worlds,Kuat sector,Kuat system,Humans
Kubindi,Outer Rim Territories,Unknown,Ku'Bakai system,Kubaz
Kudo,Inner Rim Territories,Corvair sector,Kudo system,Unknown
Kullgroon,Expansion Region,Unknown,Unknown,Petrusian
Kupoh,Mid Rim Territories,Unknown,Kupoh system,Kupohans
Lafete,Unknown,Unknown,Unknown,Unknown
Lah'mu,Outer Rim Territories,Raioballo sector,Lah'mu system,Humans
Lahn,Outer Rim Territories,Unknown,Unknown,Various
Land,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Langsha-Raang,Unknown,Unknown,Unknown,Unknown
Langston,Unknown,Unknown,Unknown,Unknown
Lannik,Mid Rim Territories,Unknown,Unknown,Lanniks
Lanteeb,Unknown,Unknown,Unknown,Unknown
Lanz Carpo,Core Worlds,Unknown,Unknown,Unknown
Lasan,Outer Rim Territories,Unknown,Lasan system,Lasats
Lateron,Mid Rim Territories,Unknown,Unknown,Latero
Lechra,Unknown,Unknown,Unknown,Unknown
Ledalau,Unknown,Unknown,Unknown,Unknown
Lefrani,Outer Rim Territories,Atravis sector,Mustafar system,Unknown
Lenahra,Unknown Regions,Unknown,Unknown,Unknown
Leoxo,Unknown,Unknown,Unknown,Unknown
Lespectus,Core Worlds,Unknown,Unknown,Moldwarp
Lew'el,Unknown,Unknown,Unknown,Humans(Lew'elans)
Lexrul,Mid Rim Territories,Unknown,Unknown,Humans
Lioaoin heartworld,Unknown Regions,Unknown,Unknown,Lioaoi
Lira San,Wild Space,Unknown,Lira San system,Lasats
Li-Toran,Inner Rim Territories,Unknown,Unknown,Melittos
Livno III,Wild Space,Unknown,Unknown,Lynna
Llanic,Outer Rim Territories,Unknown,Llanic system,Unknown
Lokori,Unknown,Unknown,Unknown,Lokori
Lola Sayu,Outer Rim Territories,Belderone sector,Lola Sayu system,Unknown
Lolet,Unknown,Unknown,Lolet system,Unknown
Lonera,Inner Rim Territories,Unknown,Unknown,Lonerans
Loreth,Galactic Frontier,Unknown,Loreth system,Various
Lothal,Outer Rim Territories,Lothal sector,Lothal system,Various
Lotho Minor,Outer Rim Territories,Wazta sector,Lotho Minor system,"Anacondans,Junkers"
Lowik,Unknown,Unknown,Unknown,Unknown
Luprora,Unknown,Unknown,Unknown,"Lupr'or,R'ora"
Lutrillia,Outer Rim Territories,Greater Javin,Unknown,Lutrillians
Lysatra,Expansion Region,Unknown,Unknown,Humans
Maher,Unknown Regions,Unknown,Unknown,Unknown
Mahranee,Mid Rim Territories,Unknown,Unknown,Mahran
Malachor,Outer Rim Territories,Chorlian sector,Malachor system,Unknown
Malastare,Mid Rim Territories,Dustig sector,Malastare system,Dugs
Malathon IX,Expansion Region,Unknown,Unknown,Unknown
Maldo Kreis,Unknown,Unknown,Unknown,Unknown
Malenko,Unknown,Unknown,Unknown,Andon Host
Malian,Western Reaches,Unknown,Unknown,Unknown
Malpaz,Unknown,Unknown,Unknown,"Humans,Iktotchi,Unidentified species"
Manaan,Inner Rim Territories,Unknown,Unknown,Selkath
Mandalore,Outer Rim Territories,Mandalore sector,Mandalore system,Humans
Mannius Eight,Wild Space,Unknown,Unknown,Unknown
Manpha,Outer Rim Territories,Unknown,Unknown,Unknown
Manress,Inner Rim Territories,Unknown,Unknown,Stokhli
Mapuzo,Mid Rim Territories,Unknown,Mapuzo system,Various
Marca,Unknown,Unknown,Unknown,Unknown
Mardona III,Inner Rim Territories,Unknown,Unknown,Unknown
Mareg IX,Unknown,Unknown,Unknown,Unknown
Maridun,Outer Rim Territories,Rolion sector,Maridun system,"Amani,Lurmen"
Marleyvane,Outer Rim Territories,Unknown,Unknown,Unknown
Maryx Minor,Outer Rim Territories,Unknown,Unknown,Unknown
Massoss,Unknown Regions,Unknown,Massoss system,Unknown
Mataou,Outer Rim Territories,Anoat sector,Mataou system,Hutts
Mathas,Unknown,Unknown,Unknown,Unknown
Mearalis II,Outer Rim Territories,Unknown,Unknown,Unknown
Megalox Beta,Expansion Region,Unknown,Megalox system,Unknown
Mek'tradi,Unknown,Unknown,Unknown,Unknown
Merj,Outer Rim Territories,Unknown,Unknown,Morseerians
Merokia,Outer Rim Territories,Unknown,Unknown,Various
Metellos,Core Worlds,Unknown,Unknown,Unknown
Mexeluine,Outer Rim Territories,Anoat sector,Unknown,Unknown
Midarr,Unknown,Unknown,Unknown,Unknown
Mijos,Outer Rim Territories,Anoat sector,Unknown,Unknown
Mikkia,Expansion Region,Unknown,Unknown,Mikkians
Milvayne,Inner Rim Territories,Unknown,Unknown,Unknown
Mimban,Expansion Region,Circarpous sector,Circarpous system,"Greenie,Mimbanese"
Minfar,Inner Rim Territories,Unknown,Unknown,Zixon
Minntooine,Unknown,Unknown,Unknown,Unknown
Mirial,Outer Rim Territories,Unknown,Mirial system,Mirialans
Mirrin Prime,Outer Rim Territories,Mirrin sector,Mirrin system,Unknown
Miser,Outer Rim Territories,Anoat sector,Bespin system,Unknown
Mokivj,Outer Rim Territories,Unknown,Mokivj system,Humans
Moldour,Outer Rim Territories,Unknown,Unknown,Unknown
Molos,Unknown,Unknown,Unknown,Unknown
Mon Cala,Outer Rim Territories,Calamari sector,Mon Calamari system,"Mon Calamari,Quarren"
Mon Gazza,Mid Rim Territories,Unknown,Unknown,Unknown
Monta,Unknown,Unknown,Unknown,Unknown
Montross,Mid Rim Territories,Unknown,Montross system,Unknown
Mooga,Mid Rim Territories,Unknown,Unknown,Moogans
Moorja,Unknown,Unknown,Unknown,Humans
Moraband,Outer Rim Territories,Esstran sector,Unknown,Unknown
Moraga,Unknown,Unknown,Unknown,Moragans
Morak,Unknown,Unknown,Unknown,Unknown
Morellia,Unknown,Morellian Commonwealth,Unknown,Unknown
Morlana One,Unknown,Free Trade sector,Morlani system,Unknown
Mountain,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Mrinzebon,Unknown,Unknown,Unknown,Humans
Mulita,Wild Space,Unknown,Mulita system,Drengir
Murkhana,Outer Rim Territories,Unknown,Murkhana system,Various
Mustafar,Outer Rim Territories,Atravis sector,Mustafar system,Mustafarians
Muunilinst,Outer Rim Territories,Unknown,Unknown,Muuns
Mydasos,Unknown,Dalicron sector,Unknown,Phydolon
Mygeeto,Outer Rim Territories,Albarrio sector,Mygeeto system,Lurmen
Mykapo,Outer Rim Territories,Unknown,Mykapo system,Humans
Myomar,Expansion Region,Unknown,Unknown,Unknown
Naalol,Unknown,Unknown,Unknown,Humans
Naator,Mid Rim Territories,Unknown,Unknown,Unknown
Naboo,Mid Rim Territories,Chommell sector,Naboo system,"Elders,Gungans,Humans(Naboo)"
Nacronis,Mid Rim Territories,Unknown,Nacronis system,Unknown
Nag Ubdur,Outer Rim Territories,Unknown,Ubdur system,"Keldar,Ubdurians"
Najan-Rovi,Mid Rim Territories,Unknown,Unknown,Unknown
NaJedha,Mid Rim Territories,Terrabe sector,Jedha system,Unknown
Najiba,Unknown,Unknown,Unknown,Unknown
Najra-Va,Unknown Regions,Sector Epsilon 51-3,Dassal system,Unknown
Nakadia,Expansion Region,Unknown,Unknown,Nakadians
Nal Hutta,Outer Rim Territories,Unknown,Unknown,Various
Nam Chorios,Outer Rim Territories,Unknown,Unknown,Unknown
Nanth'ri,Mid Rim Territories,Unknown,Nanth'ri system,Unknown
Naporar,Unknown,Unknown,Unknown,Unknown
Nar Kanji,Outer Rim Territories,Unknown,Unknown,Jablogians
Naraka,Outer Rim Territories,Unknown,Unknown,Unknown
Narq,Colonies,Unknown,Unknown,Narquois
Navlaas,Inner Rim Territories,Unknown,Unknown,Unknown
Necropolis,Outer Rim Territories,Unknown,Unknown,Unknown
Neelanon,Unknown,Unknown,Unknown,Unknown
Neftali,Outer Rim Territories,Unknown,Socorro system,Unknown
Neimoidia,Colonies,Unknown,Neimoidia system,Neimoidians
Nelgenam,Unknown,Unknown,Unknown,Unknown
Nelvaan,Outer Rim Territories,Savareen sector,Unknown,Nelvaanians
Nepotis,Outer Rim Territories,Unknown,Unknown,Nephrans
Neral,Core Worlds,Corellian sector,Unknown,Unknown
Neralus,Outer Rim Territories,Dalnan sector,Haileap system,Unknown
Neskar,Unknown,Unknown,Unknown,Unknown
Netalych,Inner Rim Territories,Unknown,Netalych system,Unknown
Nettehi,Unknown Regions,Unknown,Unknown,Paataatus
Nevarro,Outer Rim Territories,Nevarro's sector,Unknown,Various
Nimban,Hutt Space,Unknown,Unknown,Nimbanel
Ningoth,Unknown,Unknown,Unknown,Unknown
Nixus,Unknown,Unknown,Unknown,Various
Nixus,Outer Rim Territories,Dalnan sector,Haileap system,Unknown
Noctu,Colonies,Unknown,Unknown,Unknown
Nooroyo,Unknown,Unknown,Unknown,Unknown
Nordis Prime,Mid Rim Territories,Tashtor sector,Unknown,Unknown
Norsid,Unknown,Unknown,Unknown,Unknown
Norulac,Unknown,Unknown,Unknown,Unknown
Nothoiin,Outer Rim Territories,Anoat sector,Unknown,Nothoiins
Noult,Unknown,Unknown,Unknown,Unknown
Numidian Prime,Mid Rim Territories,Bright Jewel sector,Numidian system,Unknown
Nyriaan,Unknown,Unknown,Unknown,Unknown
N'Zoth,Core Worlds,Koornacht Cluster,Unknown,Unknown
Oba Diah,Outer Rim Territories,Kessel sector,Kessel system,Pykes
Obroa-skai,Inner Rim Territories,Unknown,Obroa-skai system,Unknown
Ocahont,Unknown,Unknown,Unknown,Unknown
Odona,Outer Rim Territories,Unknown,Unknown,Unknown
Ogem,Mid Rim Territories,Unknown,Unknown,Unknown
Ojom,Deep Core,Unknown,Unknown,Besalisk
Oktaro,Unknown,Unknown,Unknown,Humans(Oktarians)
Olgothon,Wild Space,Unknown,Unknown,Unknown
Oliu,Unknown,Unknown,Unknown,Unknown
Omereth,Outer Rim Territories,Unknown,Omereth system,Unknown
Onderon,Inner Rim Territories,Japrael sector,Japrael system,Humans(Onderonian)
Onod I,Mid Rim Territories,Unknown,Unknown,Onodone
Ontotho,Unknown,Unknown,Unknown,Unknown
Ool,Unknown Regions,Unknown,Unknown,Unknown
Oon,Outer Rim Territories,Lothal sector,Unknown,Unknown
Oosalon,Outer Rim Territories,Unknown,Unknown,Unknown
Orchis,Inner Rim Territories,Unknown,Unknown,Unknown
Ord Cestus,Outer Rim Territories,Unknown,Unknown,Unknown
Ord Mantell,Mid Rim Territories,Bright Jewel sector,Bright Jewel system,"Falleens,Humans"
Ord Mynock,Unknown,Unknown,Ord Mynock system,Unknown
Ord Pardron,Mid Rim Territories,Unknown,Unknown,Unknown
Ord Tiddell,Mid Rim Territories,Unknown,Unknown,Unknown
Ordo,Unknown,Unknown,Unknown,Unknown
Orish,Outer Rim Territories,Unknown,Unknown,Orishen
Ornfra,Unknown Regions,Chiss Ascendancy's northeast-zenith sector,Ornfra system,Unknown
Orn Kios,Outer Rim Territories,Anoat sector,Unknown,Unknown
Orondia,Unknown,Unknown,Unknown,Unknown
Orra,Unknown,Unknown,Unknown,Unknown
Orto,Outer Rim Territories,Unknown,Unknown,Ortolans
Orto Plutonia,Outer Rim Territories,Sujimis sector,Pantora system,Talz
Oru,Outer Rim Territories,Unknown,Unknown,Humans(Oruan)
Oshira,Mid Rim Territories,Unknown,Unknown,Unknown
Osseriton,Unknown Regions,Unknown,Unknown,Unknown
Ossus,Outer Rim Territories,Auril sector,Adega system,Ysanna
Oulanne,Inner Rim Territories,Unknown,Unknown,Unknown
Ovanis,Outer Rim Territories,Unknown,Unknown,"Ithorians,Trandoshans"
Pabu,Unknown,Unknown,Unknown,Unknown
Pacara,Mid Rim Territories,Unknown,Unknown,Unknown
Pagodon,Outer Rim Territories,Unknown,Unknown,Unknown
Pamarthe,Outer Rim Territories,Unknown,Unknown,Humans
Pam'ba,Mid Rim Territories,Unknown,Unknown,Unknown
Pandem Nai,Outer Rim Territories,Unknown,Pandem Nai system,Unknown
Panisia,Outer Rim Territories,Unknown,Unknown,Unknown
Panna,Outer Rim Territories,Cronese Mandate,Unknown,Unknown
Parau VI,Mid Rim Territories,Unknown,Unknown,B'ankora
Parein II,Unknown,Unknown,Unknown,Unknown
Parnassos,Unknown Regions,Unknown,Unknown,Humans
Parwa,Unknown,Unknown,Unknown,Parwan
Pasaana,Expansion Region,Ombakond sector,Middian system,Aki-Aki
Pasher,Inner Rim Territories,Unknown,Unknown,Humans
Pastoria,Outer Rim Territories,Unknown,Unknown,Pastorians
Patitite Pattuna,Mid Rim Territories,Unknown,Unknown,Patitites
Patrolia,Unknown,Unknown,Unknown,Patrolians
Paucris Major,Unknown,Unknown,Paucris system,Unknown
Pendarr III,Unknown,Unknown,Unknown,Humans
